cell file,Rs,Rm,Cm,Pk_Ina,Max_Ikpk,Max_Ikin,Pct_inact,hyperpol,RMP_mV,InputRes_GOhms,length,Events,Frequency,Peak_pA,Trise_ms,Taudecay_ms,Duration_ms,First_AP_Mean_Amplitude_mV,First_AP_Mean_Potential_Difference_of_Spike_mV,First_AP_Mean_Threshold_Potential,First_AP_Mean_Threshold_to_Peak_S,First_AP_Mean_AP_Width_S,First_AP_Mean_Spike_Height_mV,First_AP_Membrane_Potential,Ih_current_current_injected_at_baseline,First_AP_Mean_AHP,First_AP_Current_Step_Size_pA,Most_AP_Mean_Amplitude_mV,Most_AP_Max_Amplitude_mV,Most_AP_Mean_Threshold_Potential,Most_AP_Mean_Threshold_to_Peak_S,Most_AP_Mean_AP_Width_S,Most_AP_Event_number,Most_AP_Mean_Spike_Height_mV,Most_AP_Mean_AHP,Most_AP_Current_Injection,Sweep_no_first_AP,Sweep_no_most_AP,First_AP_Event_number_2.0,First_AP_Frequency_Hz_10.0
190118_cell3_cc_0001.abf,0.21318786037651918,0.2872289861493959,0.3098629086929391,0.7142857142857137,0.2839506172839502,0.39468170280905435,1.0,0.1821533923303834,0.9622102427711778,0.09141392977424884,0.30789245446660884,0.1571753986332574,0.2349726775956284,0.9947275088912867,0.07865168539325842,0.5051841322020345,0.03156146179401993,0.1872686898593648,0.13346847887738172,0.9130434782608701,0.03577512776832166,0.5925925925925924,0.14188934888972507,0.7994226202486477,0.0,0.22957290707730033,0.4831329843712791,0.23845428840716398,0.20763233483791693,0.8722820197933977,0.03577512776832166,0.5769230769230769,0.0,0.1539403838301346,0.1830647411198653,0.19562343851580613,0.15384615384615385,0.14285714285714285,0,0
190118_cell4_cc_0001.abf,0.4187929419022468,0.2951051516271299,0.24096441569227986,0.7175644028103046,0.2280811885331662,0.26310410030151754,0.777999287285812,0.366519174041298,0.5062960226027939,0.4266088441630896,0.4796183868169991,0.061503416856492035,0.06284153005464481,0.9971257753689686,0.06741573033707865,0.5091066589667274,0.03875968992248063,0.7390821613619571,0.5424658109782987,0.33459357277882873,0.16865417376491337,0.017094017094017117,0.8005269100489268,0.37145540051840675,0.7518097432664512,0.45358398192317373,0.0689124948767075,0.5804272698711914,0.7369716864997979,0.5060319294950515,0.21408290743895897,0.2366863905325443,0.33333333333333337,0.6037838573567449,0.5927748431963369,0.15365441809928088,0.0,0.10714285714285712,0,0
190118_cell5_cc_0001.abf,0.535164073856811,0.9999999999999999,0.13715535130841774,0.9303278688524588,0.0,0.12466143127267768,0.6759752890961441,0.41396263520157345,0.0,0.48389421191816384,0.2298352124891587,0.045102505694760826,0.08743169398907102,0.9911336851188159,0.0449438202247191,0.5051414863844342,0.024916943521594688,0.6850481125092549,0.44421570069113203,0.33534971644612477,0.16013628620102927,0.10541310541310542,0.6989085434700782,0.0,0.8678289602399951,0.8685245627249203,0.17011293903625446,0.6742695570216783,0.8292983176036137,0.32529076067326645,0.36865417376491166,0.21124260355029584,0.6666666666666666,0.6706410779910171,0.9290877627799495,0.1813723644687091,0.07692307692307693,0.21428571428571427,0,0
220118_cell1_con_0001.abf,0.18286202369756763,0.220789611661103,0.36263509195879595,0.6384074941452,0.3698472483783207,0.3858916920770648,0.7164231701320003,0.7500000000000004,0.638899010503396,0.33433298828981695,0.3712055507372073,0.3148063781321185,0.39890710382513656,0.9670687736287951,0.0898876404494382,0.517852605392919,0.03654485049833887,0.710214655810514,0.743041404953469,0.6136105860113436,0.2844974446337369,0.07977207977207976,0.7884832517877308,0.46382063977402166,0.8722419077846135,0.6185001534298546,0.32993321084478333,0.776154571159285,0.7090685268773116,0.7657299718269177,0.2444633730834817,0.22189349112426032,0.16666666666666666,0.6521028991425074,0.4949944248616853,0.21616347833488217,0.23076923076923078,0.3571428571428571,0,0
220118_cell2_con_0002.abf,0.17064079100585908,0.38653782464465447,0.1976215270052695,0.6756440281030445,0.4331450094161958,0.22336166805784996,0.445581922881639,0.6531465093411999,0.5335937331503471,0.5522929651809855,0.401561144839549,0.004100227790432802,0.005464480874316939,0.9926737250239676,0.02247191011235955,0.5057918351028385,0.017718715393134,0.690229459659514,0.4366636556519538,0.28922495274102067,0.21465076660988747,0.19943019943019943,0.7184794881445244,0.30405045347075266,0.9566096389208931,0.4426242084414321,0.06879500578948577,0.7364121897580898,0.8727944193680781,0.47400611620795263,0.19534355479841403,0.2613412228796746,0.33333333333333337,0.5907172995780593,0.3385911722805788,0.06947753108750852,0.07692307692307693,0.17857142857142858,0,0
230118_cell1_cc_0002.abf,0.1776505399627961,0.3391183386317473,0.277006490262789,0.8477751756440279,0.6351747227453431,0.5735652351668573,0.7005031202192425,0.26007866273353003,0.489736682887737,0.5264050306785288,0.375542064180399,0.7416856492027336,0.9262295081967212,0.9889559351910202,0.056179775280898875,0.5260272755541735,0.05758582502768549,0.6169504071058503,0.37709808205365186,0.3202268431001898,0.22487223168654835,0.2535612535612536,0.6465939028980048,0.2959510986253686,0.945751179322189,0.4870177420704668,0.2255271239412449,0.7855796418473147,0.6840377513336098,0.30593079534782985,0.22487223168654835,0.22485207100591714,0.0,0.7015108207431602,0.3883549588144186,0.09131728300724448,0.15384615384615385,0.14285714285714285,0,0
230118_cell3_cc_0001.abf,0.1217340651366077,0.45955941902318975,0.2192689802959009,0.8631147540983601,0.26103787403222367,0.1497538456296947,0.30397834132722673,0.43436578171091467,0.49116127648126406,0.25627211362246183,0.011274934952298352,0.001822323462414579,0.021857923497267756,0.9942137649291192,0.033707865168539325,0.5144178401670294,0.026578073089701004,0.0,0.0,0.9999999999999999,0.0,0.9914529914529912,0.0,0.3541262474972524,0.7553314058390038,1.0,0.3797121352401754,0.0,0.0,0.9553564978689587,0.0,0.9911242603550294,0.0,0.0,0.7974143963696243,0.15374771738784576,0.2692307692307692,0.24999999999999997,0,0
230118_cell6_cc_0002.abf,0.3476343848490431,0.2553178040650672,0.13588166625442208,0.9099531615925047,0.2029713329148353,0.0,0.05025460929601322,0.32005899705014773,0.44463325512257623,0.35625225291611085,0.4796183868169991,0.001822323462414579,0.0027322404371584695,0.9999999999999998,0.011235955056179789,0.5086890853360578,0.029900332225913623,0.5677276091783889,0.38435602798142965,0.125897920604916,0.30323679727428193,0.31908831908831903,0.7252540459164467,0.29732729050583573,0.8404708593291454,0.5444423522191555,0.17202766814326015,0.7229029217719141,0.6294624538366871,0.12027739651809699,0.30323679727428193,0.29289940828402367,0.0,0.7868517762351978,0.4341461696528963,0.06965503298400155,0.11538461538461539,0.10714285714285712,0,0
cc_14_5_1206_cell5_0001.abf,0.10791399317831321,0.452745197909317,0.2515000811736571,0.816978922716628,0.4254028039338772,0.3714460930446478,0.5932353386294997,0.13987217305801386,0.9719599115957362,0.2760697194128939,0.06331309627059845,0.01867881548974943,0.09562841530054643,0.9830031803254417,0.033707865168539325,0.5101692505886011,0.032115171650055375,0.4918578830495954,0.6419973531079968,0.5100189035916834,0.1618398637138061,0.20512820512820515,0.7290176891230705,0.7808440298623315,0.1547901132584093,0.3968881635841218,0.3293915879855907,0.6262959472196052,0.5453426343865433,0.48724987358231686,0.1618398637138061,0.17455621301775148,0.0,0.7909350755410367,0.3164843353906812,0.1333726264700745,0.23076923076923078,0.21428571428571427,0,0
cc_14_5_1206_cell6_0002.abf,0.33290251404121185,0.09258544610339911,0.22260051096982011,0.7217798594847767,0.12261979493617883,0.2115905490349722,0.49637883574656044,0.0,0.5745686773301175,0.27888619754267135,0.4449262792714657,0.5134396355353076,0.5503551912568305,0.9581730168082481,0.0449438202247191,0.5150877348851672,0.02436323366555925,0.6361954108068129,0.557218032476945,0.0,0.2112436115843338,0.19230769230769232,0.9217162213022203,0.7894271213273543,0.29962392121910586,0.0,0.01626133280699317,0.8100848256361934,0.7086581862946266,0.0,0.2112436115843338,0.1612426035502959,0.16666666666666666,0.9999999999999999,0.0,0.006584311031244499,0.0,0.0,1,1
cc_14_5_1306_cell7_0001.abf,0.08045936612563653,0.1879515465547195,0.1509797303984243,0.667096018735363,0.6043105252144804,0.07810503722126595,0.0,0.6993608652900695,0.6507112184191399,0.2372029465709385,0.4796183868169991,0.03553530751708429,0.03597449908925327,0.9697900670525267,0.011235955056179789,0.5056141441961707,0.014950166112956811,0.5721687638786104,0.7566014746969731,0.6015122873345934,0.21465076660988747,0.10541310541310542,0.7798268724124955,0.489344860233752,0.7914175778787423,0.8170279242335476,0.13730402633033303,0.7285579641847313,0.63438654082889,0.5746586722531242,0.21465076660988747,0.07100591715976329,0.0,0.8460596161698657,0.6515098290198216,0.05559522247846192,0.15384615384615385,0.14285714285714285,0,0
cc_14_5_1906_cell1_0001.abf,0.38752050119827863,0.16334967387836521,0.1495473480720443,0.9433255269320842,0.16760828625235394,0.0768614891913528,0.2899298590284175,1.0,0.7116611215354236,0.18743282367503403,0.4796183868169991,0.01867881548974943,0.01912568306010929,0.9777918378600213,0.6067415730337078,0.8373861667629159,1.0,0.5425610658771298,0.5088859945801729,0.2189035916824209,0.9999999999999999,0.15099715099715097,0.7903650733910429,0.5394698039702672,0.45043586008999914,0.4718909532178422,0.43068098031301905,0.6908576814326104,0.6015592942141994,0.2091309687206544,0.9999999999999999,0.11834319526627218,0.0,0.8574928542262154,0.37629263961249226,0.17438530797443005,0.3076923076923077,0.2857142857142857,0,0
